einstellungsparameter;aInStElUNspaRa:me:t6 
fischereiquelltext;fIS@RaIkvEltEkst 
fischereirechtliche;fIS@RaIRECtlIC@ 
fischerernst;fIS6 ERnst 
fischerheike;fIS6haIk@ 
fischerhelene;fIS6he:le:n@ 
fischerlichteerika;fIS6lICt@ e:RIka: 
fischern;fIS6n 
fischersbraut;fIS6sbRaUt 
fischersiedlung;fIS6zi:dlUN 
fischersup;fIS6s ap 
fischertaschenbuch;fIS6taS@nbu:x 
fischertaschenbuchverlag;fIS6taS@nbu:xfERla:k 
fischerverlag;fIS6fERla:k 
fischfang;fISfaN 
fischfauna;fISfaUna: 
fischgefilte;fISg@fIltE 
fischgerichte;fISg@RICt@ 
fischgruppen;fISgRUp@n 
fischingenkloster;fIS IN@nklo:st6 
fischlebernd;fISle:b6nt 
fischmarkt;fISmaRkt 
fischnetz;fISnEts 
fischrevieren;fISRe:vi:R@n 
fischsorten;fISzORt@n 
fischsterben;fIStERb@n 
fischt;fISt 
fischtaxa;fIStaksa: 
fischverarbeitung;fISfER aRbaItUN 
fish;fIS 
fishbaseorg;fIsha ba:ze: o:6k 
fisher;fIS6 
fisherhelen;fIS6he:l@n 
fisherronald;fIS6Ro:nalt 
fiskaleinnahmen;fIska:l aIna:m@n 
fiskalisch;fIska:lIS 
fiskaljahr;fIska:lja:6 
fiskalzweck;fIska:ltsvEk 
fiskalzweckquelltext;fIska:ltsvEkvEltEkst 
fissolo;fIszo:lo: 
fistel;fIst@l 
fisterra;fIstERa: 
fiszmarek;fIstsmaREk 
fit;fIt 
fitch;fItC 
fitchashbel;fItCasha b@l 
fitchtecumseh;fItCtEkUmze: 
fitness;fItnEs 
fitnessbeurteilung;fItnEsb@ URtaIlUN 
fitnesstraining;fItnEstRE:nIN 
fitnessverlust;fItnEsfERlUst 
fitoussijeanpaul;fi:tu:szi:je: a:npaUl 
fitte;fIt@ 
fitting;fItIN 
fitz;fIts 
fitzgerald;fItsge:Ralt 
fitzjames;fItsdZe:ms 
fitzpatrick;fItspatRIk 
fitzroy;fItsROY 
fiumicino;fi: UmItsi:no: 
fiveohawaii;fi:vE o:havaI i: 
fix;fIks 
fixation;fIksatsi: o:n 
fixationen;fIksatsi: o:nEn 
fixationsphasen;fIksatsi: o:nsfa:zEn 
fixationspunkt;fIksatsi: o:nspUNkt 
fixe;fIks@ 
fixedncaptionidiomatische;fIksEtnkapti: o:ni:di: o:ma:tISE 
fixejour;fIks@Z u:6 
fixen;fIks@n 
fixes;fIks@s 
fixieren;fIksi:R@n 
fixiermitteln;fi:ksi:6mItEln 
fixiert;fIksi:6t 
fixierte;fIksi:6t@ 
fixierten;fIksi:6t@n 
fixierter;fIksi:6t6 
fixiertsup;fi:ksi:6tzu:p 
fixierung;fIksi:RUN 
fixierungquelltext;fIksi:RUNkvEltEkst 
fixinitial;fIks i:ni:tsi:a:l 
fixkosten;fIkskOst@n 
fixpunkt;fIkspUNkt 
fixpunkte;fIkspUNkt@ 
fixpunkten;fIkspUNkt@n 
fixpunktgleichung;fIkspUNktglaICUN 
fixpunktgleichungenquelltext;fIkspUNktglaICUN@nkvEltEkst 
fixsternen;fIksStERn@n 
fizice;fi:tsIts@ 
fjodor;fjo:do:6 
fjodorowitsch;fjo:do:Ro:vItS 
fjord;fjORt 
fjorden;fjORd@n 
fl;Ef El 
flach;flax 
flachauges;flax aUg@s 
flachbatterie;flaxbat@Ri: 
flachbatteriea;flaxbatERi: a: 
flachbatterien;flaxbat@Ri:@n 
flachbau;flaxbaU 
flachbildfernseher;flaxbIltfERnze:6 
flachbildschirmtechniken;flaxbIltSIRmtECnIk@n 
flache;flax@ 
flachem;flax@m 
flachen;flax@n 
flacher;flax6 
flacherem;flax@R@m 
flacheren;flax@R@n 
flaches;flax@s 
flachgut;flaxgu:t 
flachland;flaxlant 
flachlandschaft;flaxlantSaft 
flachmeer;flaxme:6 
flachmoore;flaxmo:R@ 
flachs;flaks 
flachsanbau;flaks anbaU 
flachstahl;flaxSta:l 
flachte;flaxt@ 
flachverbinder;flaxfERbInd6 
flachwassergebiet;flaxvas6g@bi:t 
flachwassersedimenten;flaxvas6ze:di:mEnt@n 
flackernde;flak6nd@ 
flade;fla:d@ 
flageolettspielweise;flaZ o:lEtSpi:lvaIz@ 
flageolettton;flaZ o:lEto:n 
flagge;flag@ 
flaggeblaue;flag@blaU@ 
flaggefalscher;flag@falS6 
flaggeimg;flagaImC 
flaggeingeborg;flag@ IN@bORk 
flaggeinternationale;flag@ Int6natsi:o:na:l@ 
flaggen;flag@n 
flaggenanordnung;flag@n an ORdnUN 
flaggenarten;flag@n aRt@n 
flaggenauf;flag@n aUf 
flaggenform;flag@nfORm 
flaggenformen;flag@nfORm@n 
flaggenformsup;flag@nfORms ap 
flaggengebrauchs;flag@ng@bRaUxs 
flaggenkunde;flag@nkUnd@ 
flaggenmast;flag@nmast 
flaggenquelltext;flag@nkvEltEkst 
flaggensignale;flag@nzIgna:l@ 
flaggenstock;flag@nStOk 
flaggensymbol;flag@nzYmbo:l 
flaggentuch;flag@ntu:x 
flaggentypen;flag@nty:p@n 
flaggentypenquelltext;flag@nty:p@nkvEltEkst 
flaggenwesen;flag@nve:z@n 
flaggenzeichen;flag@ntsaIC@n 
flaggeolympische;flag@ o:lYmpIS@ 
flaggequelltext;flag@kvEltEkst 
flagregister;fla:gRe:gIst6 
flags;fla:ks 
flagship;fla:kshIp 
flaherty;flahe:6ti: 
flahertyrobert;flahe:6ty:Ro:b6t 
flahertys;flahe:6ty:s 
flair;flE:6 
flak;flak 
flakes;flak@s 
flamelnikolaus;flam@lni:ko:laUs 
flamenco;flamENko: 
flammarion;flamaRi: o:n 
flamme;flam@ 
flammen;flam@n 
flammenprobe;flam@npRo:b@ 
flammer;flam6 
flammhemmende;flamhEm@ndE 
flammwidrige;flamvIdRIg@ 
flanagan;flEn@g@n 
fland;flant 
flandern;fland6n 
flanderngrafschaft;fland6ngRafSaft 
flandre;flandRE 
flanierplaza;flani:6platsa: 
flanken;flaNk@n 
flankiert;flaNki:6t 
flankierte;flaNki:6t@ 
flares;flE:6s 
flasche;flaS@ 
flascheleidener;flaS@laId@n6 
flaschen;flaS@n 
flaschenhalsgenetischen;flaS@nhalsge:ne:tIS@n 
flaschenkorken;flaS@nkORk@n 
flaschenzug;flaS@ntsu:k 
flashadobe;flES ado:b@ 
flashar;flES a:6 
flasharh;flashaR 
flasharhellmut;flES a:6hElmu:t 
flashspeichern;flESpaIC6n 
flashtutorials;flasha tu:to:Ri: a:ls 
flatscher;flatS6 
flau;flaU 
flaviairia;flavi: a i:Ri: a: 
flavischen;fla:vIS@n 
flaxmanjohn;flaksmanjo:n 
flechsig;flEksIC 
flechtbandes;flECtband@s 
flechten;flECt@n 
flechtheimossip;flECthaImOsIp 
flechtner;flECtn6 
fleck;flEk 
fleckchristian;flEkRIsti:a:n 
flecken;flEk@n 
fleckenhafte;flEk@nhaft@ 
fleckludwik;flEklUtvIk 
fledermaus;fle:d6maUs 
flege;fle:g@ 
fleisch;flaIS 
fleischart;flaIS a:6t 
fleischer;flaIS6 
fleischerzeugnisse;flaIS ERtsOYknIs@ 
fleischerzeugnissen;flaIS ERtsOYknIs@n 
fleischerzeugnissequelltext;flaIS ERtsOYknIs@kvEltEkst 
fleisches;flaIS@s 
fleischfarbe;flaISfaRb@ 
fleischfaser;flaISfa:z6 
fleischfasern;flaISfa:z6n 
fleischflosser;flaISflOs6 
fleischfresser;flaISfREs6 
fleischige;RROR
fleischkonserve;RROR
fleischreste;flaISREst@ 
fleischsaft;flaISzaft 
fleischseite;flaISzaIt@ 
fleischsorten;flaISzORt@n 
fleischspeise;flaISpaIz@ 
fleischtheke;flaISte:k@ 
fleischverarbeitenden;flaISfER aRbaIt@nd@n 
fleischverbrauch;flaISfERbRaUx 
fleischversorgung;flaISfERzORgUN 
fleischzellen;flaIStsEl@n 
flektierbar;flEkti:6ba:6 
flektierbare;flEkti:6ba:R@ 
flektierbaren;flEkti:6ba:R@n 
flektieren;flEkti:R@n 
flektierend;flEkti:R@nt 
flektierendem;flEkti:R@nd@m 
flektiert;flEkti:6t 
flektierten;flEkti:6t@n 
flektionstabellen;flEktsi: o:nSta:bElEn 
fleminck;fle:mIntsk 
fleminghans;fle:mINhans 
flemingian;fle:mIngi: a:n 
flemingjohn;fle:mINdZ On 
flemish;fle:mIS 
flensburg;flEnsbURk 
flensburger;flEnsbURg6 
flensburgfranziskanerkloster;flEnsbURkfRantsIska:n6klo:st6 
fleur;fl96 
flexibel;flEksi:b@l 
flexibilisierung;flEksi:bi:li:zi:RUN 
flexible;flEksi:bl@ 
flexiblen;flEksi:bl@n 
flexibler;flEksi:bl6 
flexibleren;flEksi:bl@R@n 
flexiblerer;flEksi:bl@R6 
flexibles;flEksi:bl@s 
flexion;flEksi:o:n 
flexionsendung;flEksi:o:nzEndUN 
flexionsmorphologische;flEksi:o:nsmORfo:lo:gIS@ 
flexionsparadigma;flEksi:o:nspaRadIgma: 
flexionsparadigmas;flEksi:o:nspaRadIgma:s 
flexionsparadigmensup;flEksi:o:nspaRadIgm@ns ap 
flexionssuffixe;flEksi:o:nszUfIks@ 
flick;flIk 
flickwerk;flIkvERk 
fliegen;fli:g@n 
fliegende;fli:g@nd@ 
fliegenden;fli:g@nd@n 
fliegenherr;fli:g@nhER 
flieger;fli:g6 
fliegerbomben;fli:g6bOmb@n 
fliegerei;fli:g@RaI 
fliegergruppe;fli:g6gRUp@ 
fliegt;fli:kt 
fliehen;fli:@n 
fliehkraftregler;fli:kRaftRe:gl6 
fliehkraftreglers;fli:kRaftRe:gl6s 
flieht;fli:t 
flies;fli:s 
fliesen;fli:z@n 
fliessbach;fli:sbax 
fliesst;fli:st 
flink;flINk 
flinnalex;flInalEks 
flintenlauf;flInt@nlaUf 
flitner;flItn6 
flo;flo: 
float;flo:Ut 
floatleft;flo: a:tlEft 
floatleftndiv;flo: a:tlEftndi:f 
floatright;flo: atRaIt 
floatrightncaptionherrschaftsformenschemabr;flo: atRaItnkaptsi: o:nhERSaftsfORmEnSe:mabR 
floatrightncaptionverbreitung;flo: atRaItnkaptsi: o:nfERbRaItUN 
floatrightnli;flo: atRaItnli: 
floatrightntr;flo: atRaItntR 
floatrightntrnth;flo: atRaItntRnt 
floatrightntrnthgrenze;flo: atRaItntRntha gREntsE 
flocke;flOk@ 
flockelokale;flOk@lo:ka:l@ 
flog;flo:k 
floh;flo: 
flohen;flo:@n 
flohmarkt;flo:maRkt 
floods;flo:ts 
flooffyjpg;flo:fYja pga 
floor;flo:6 
flora;flo:Ra: 
florapaul;flo:Ra:paUl 
floren;flo:R@n 
florence;flo:REnts@ 
florentiner;flo:REnti:n6 
florentinischen;flo:6 Ent In IS@n 
florentino;flo:R@nti:no: 
florenz;flo:REnts 
florenzac;flo:REntsats 
florenzerzbistums;flo:REnts ERtsbIstu:ms 
florenzkathedrale;flo:REntskate:dRa:l@ 
florenzsanta;flo:REntsanta: 
florescence;flo:REsts@nts@ 
florian;flo:Ri:a:n 
florida;flo:Ri:da: 
floridas;flo:Ri:da:s 
floridi;flo:Ri:di: 
floridiluciano;flo:Ri:di:lUtsi: ano: 
floridus;flo:6 i:dUs 
floriere;flo:Ri:R@ 
florieren;flo:Ri:R@n 
floriert;flo:Ri:6t 
florierte;flo:Ri:6t@ 
florierten;flo:Ri:6t@n 
floris;flo:RIs 
floristik;flo:RIstIk 
flors;flo:6s 
floruspublius;flo:RUspUbli: Us 
flos;flo:s 
floss;flo:s 
flossen;flOs@n 
flossenbewegung;flOs@nb@ve:gUN 
flotte;flOt@ 
flottmann;flOtman 
flow;flo: 
flowable;flo:va:bl@ 
flowaudience;flo:vaUdi:@nts@ 
flower;flo:ve:6 
flowers;flo:v6s 
flowzustand;flOva tsu:Stant 
fluch;flu:x 
fluchen;flu:xn 
fluchend;flUxEnt 
flucht;flu:xt 
fluchtartig;flUxt a:6tIC 
fluchtbahn;flu:xtba:n 
fluchten;flUxtEn 
fluchtend;flUxt@nt 
fluchtenkleine;flu:xt@nklaIn@ 
fluchtfeldverstellung;flu:xtfEltfERStElUN 
fluchtgeldern;flu:xtgEld6n 
fluchtpunkt;flu:xtpUNkt 
fluchtpunktdarstellung;flu:xtpUNktda:6StElUN 
fluchtpunkte;flu:xtpUNkt@ 
fluchtpunkten;flu:xtpUNkt@n 
fluchtpunktenulnlia;flUxtpUNktEnUlnli: a: 
fluchtung;flUxtUN 
fluchtungquelltext;flUxtUNkvEltEkst 
fluchtungs;flUxtUNs 
fluchtungsfehler;flUxtUNsfe:l6 
fluchtversuche;flu:xtfERzu:x@ 
fluck;flUk 
flug;flu:k 
flugbahn;flu:kba:n 
flugbahnen;flu:kba:n@n 
flugbetrieb;flu:kb@tRi:p 
flugblatt;flu:kblat 
flugblattes;flu:kblat@s 
flugblattsammlungen;flu:kblatzamlUN@n 
fluges;flu:g@s 
flugfeder;flu:kfe:d6 
flugfelder;flu:kfEld6 
flugfiguren;flu:kfi:gu:R@n 
fluggesellschaft;flu:kg@zElSaft 
fluggesellschaften;flu:kg@zElSaft@n 
fluggesellschaftenliste;flu:kg@zElSaft@nlIst@ 
flughafen;flu:kha:f@n 
flughafenbetrieb;flu:kha:f@nb@tRi:p 
flughafenbetriebs;flu:kha:f@nb@tRi:ps 
flughafencode;flu:kha:f@nko:t 
flughafens;flu:kha:f@ns 
flughafenterminals;flu:kha:f@nt9Rmi:n@ls 
flugkorridore;flu:kORi:do:R@ 
fluglage;flu:kla:g@ 
flugmarkt;flu:kmaRkt 
flugphase;flu:kfa:z@ 
flugplatz;flu:kplats 
flugpublizistik;flu:kpu:bli:tsIstIk 
flugrichtung;flu:kRICtUN 
flugrichtungen;flu:kRICtUN@n 
flugsand;flu:kzant 
flugschrift;flu:kSRIft 
flugschriften;flu:kSRIft@n 
flugsicherheitsbefeuerung;flu:kzIC6haItsb@fOY@RUN 
flugsimulationsszene;flu:kzi:mu:latsi:o:nstse:n@ 
flugtiere;flu:kti:R@ 
flugverbots;flu:kfERbo:ts 
flugverhalten;flu:kfERhalt@n 
flugverkehr;flu:kfERke:6 
flugverkehrquelltext;flu:kfERke:6kvEltEkst 
flugverkehrs;flu:kfERke:6s 
flugverkehrsanbindung;flu:kfERke:6sanbIndUN 
flugwerk;flu:kvERk 
flugzeug;flu:ktsOYk 
flugzeugabsturz;flu:ktsOYk apStURts 
flugzeugabsturzes;flu:ktsOYk apStURts@s 
flugzeugbau;flu:ktsOYkbaU 
flugzeuge;flu:ktsOYg@ 
flugzeugen;flu:ktsOYg@n 
flugzeuggetragenen;flu:ktsOYkg@tRa:g@n@n 
flugzeugindustrie;flu:ktsOYk IndUstRi: 
flugzeugs;flu:ktsOYks 
flugzeugtypen;flu:ktsOYkty:p@n 
flugzeugtypenliste;flu:ktsOYkty:p@nlIst@ 
fluid;flu: i:t 
fluiddynamik;flu: i:tdy:na:mIk 
fluide;flu: i:d@ 
fluidelemente;flu: i:t e:le:mEnt@ 
fluiden;flu: i:d@n 
fluids;flu: i:ts 
fluidsysteme;flu: i:tzYste:m@ 
fluidtechnik;flu: i:tECnIk 
fluktuieren;flUktu: i:R@n 
flum;flUm 
flumen;flu:mEn 
flumine;flu:mi:nE 
fluminis;flu:mi:nIs 
fluoreszenzschirm;flu:o:REstsEntsSIRm 
fluoreszieren;flu:o:REstsi:R@n 
fluorid;flu:o:Ri:t 
fluoride;flu:o:Ri:d@ 
flur;flu:6 
flurbereinigungsverfahren;flu:6b@RaInIgUNsfERfa:R@n 
flurikurt;flu:Ri:kURt 
flurnamen;flu:6na:m@n 
flury;flURi: 
fluryrichard;flURy:RICaRt 
fluryurs;flURY URs 
fluss;flUs 
flussa;flUsa: 
flussab;flUs ap 
flussabschnitt;flUs apSnIt 
flussabschnitte;flUs apSnIt@ 
flussabschnittes;flUs apSnIt@s 
flussarme;flUs aRm@ 
flussauen;flUszaU@n 
flussbauliche;flUsbaUlIC@ 
flussbestattung;flUsb@StatUN 
flussbestattungquelltext;flUsb@StatUNkvEltEkst 
flussbett;flUsbEt 
flussbetten;flUsbEt@n 
flussbettenquelltext;flUsbEt@nkvEltEkst 
flussbettformung;flUsbEtfORmUN 
flussbettsedimente;flUsbEtze:di:mEnt@ 
flussbiegung;flUsbi:gUN 
flussdiagramm;flUsdi:agRam 
flussdiarheischer;flUsdi: aRhaIS6 
flussdichte;flUsdICt@ 
flusse;flUs@ 
flussebenen;flUs e:b@n@n 
flussendorheischer;flUs Endo:Re:IS6 
flusses;flUs@s 
flussexorheischer;flUs Ekso:Re:IS6 
flussgebiete;flUsg@bi:t@ 
flussgott;flUsgOt 
flussgottes;flUsgOt@s 
flusskilometern;flUski:lo:me:t6n 
flusskm;flUskm 
flusskrebsamerikanischer;flUskRe:ps ame:Ri:ka:nIS6 
flusskreuzfahrttourismus;flUskROYtsfa:6tu:RIsmUs 
flusslandschaft;flUslantSaft 
flusslauf;flUslaUf 
flusslaufs;flUslaUfs 
flussmitte;flUsmIt@ 
flussmittel;flUsmIt@l 
flussnamen;flUsn a:m@n 
flussnamens;flUsna:m@ns 
flussnetz;flUsnEts 
flussnetze;flUsnEts@ 
flussnetzequelltext;flUsnEts@kvEltEkst 
flussnetzes;flUsnEts@s 
flussregion;flUsRe:gi:o:n 
flussregulierungen;flUsRe:gu:li:RUN@n 
flussrinnen;flUsRIn@n 
flussschleife;flUsSlaIf@ 
flussschlinge;flUsSlIN@ 
flussseite;flUszaIt@ 
flussstadt;flUsStat 
flussstauen;flUsStaU@n 
flussstrecke;flUsStREk@ 
flusssystem;flUszYste:m 
flusssysteme;flUszYste:m@ 
flusssystems;flUszYste:ms 
flusstyp;flUsty:p 
flussufern;flUs u:f6n 
flussufers;flUs u:f6s 
flussumlenkungen;flUs UmlENkUN@n 
flussverbauungen;flUsfERbaUUN@n 
flussverflochtener;flUsfERflOxt@n6 
flussverkehrs;flUsfERke:6s 
flussverlauf;flUsfERlaUf 
flussverlegungen;flUsfERle:gUN@n 
flut;flu:t 
fluten;flu:t@n 
flutung;flu:tUN 
fluvatiler;flu:vati:l6 
flyer;flaI6 
flying;flY IN 
fm;Ef Em 
fmathbb;fma:tha p 
fmathbbr;fma:tha pR 
fmathrm;fma:t6m 
fn;Ef En 
foarmeleere;fo: aRm@le:RE 
fockenbrock;fOk@nbROk 
focus;fo:kUs 
focusde;fo:kUsde: 
fodario;fo:daRi: o: 
foderierte;fo:dERi:6tE 
fodiousman;fo:di: u:sma:n 
fodom;fo:do:m 
fodor;fo:do:6 
fodorijerry;fo:do:Ri:je:6Ri: 
fodorjerry;fo:dOR je:6Ri: 
fodors;fo:dORs 
foederalis;f9dERa:lIs 
foederaten;f9dERa:tEn 
foerster;f9Rst6 
foersterheinz;f9Rst6haInts 
foggia;fOdZa: 
foggy;fOgi: 
fogjpg;fOkja pga 
fohrmann;fo:6man 
fohrmanns;fo:6mans 
foi;fo: i: 
foix;fo: Iks 
fokunaten;fo:ku:na:tEn 
fokus;fo:kUs 
fokusquelltext;fo:kUskvEltEkst 
fokussieren;fo:kUsi:R@n 
fokussiert;fo:kUsi:6t 
fokussierte;fo:kUsi:6t@ 
fokussierten;fo:kUsi:6t@n 
fokussierung;fo:kUsi:RUN 
fol;fo:l 
folder;fOld6 
folge;fOlg@ 
folgea;fOlge: a 
folgeanweisungen;fOlg@ anvaIzUN@n 
folgebewertung;fOlg@b@ve:6tUN 
folgeentscheidungen;fOlg@ EntSaIdUN@n 
folgefehler;fOlg@fe:l6 
folgegenerationen;fOlg@ge:n@Ratsi:o:n@n 
folgeglied;fOlg@gli:t 
folgejahr;fOlg@ja:6 
folgejahren;fOlg@ja:R@n 
folgejahres;fOlg@ja:R@s 
folgekosten;fOlg@kOst@n 
folgemonats;fOlg@mo:nats 
folgen;fOlg@n 
folgend;fOlg@nt 
folgende;fOlg@nd@ 
folgendem;fOlg@nd@m 
folgenden;fOlg@nd@n 
folgender;fOlg@nd6 
folgenderweise;fOlg@nd6vaIz@ 
folgendes;fOlg@nd@s 
folgenglied;fOlg@ngli:t 
folgenhandlung;fOlg@nhandlUN 
folgenlosigkeit;fOlg@nlo:zICkaIt 
folgenquelltext;fOlg@nkvEltEkst 
folgenreiche;fOlg@nRaIC@ 
folgenreichem;fOlg@nRaIC@m 
folgenreichen;fOlg@nRaIC@n 
folgenreiches;fOlg@nRaIC@s 
folgenreichsten;fOlg@nRaICst@n 
folgenschwer;fOlg@nSve:6 
folgenschwere;fOlg@nSve:R@ 
folgenschwersten;fOlg@nSve:6st@n 
folgensup;fOlg@ns ap 
folgeperioden;fOlg@pe:Ri:o:d@n 
folgeproblemen;fOlg@pRo:ble:m@n 
folgeprodukte;fOlg@pRo:dUkt@ 
folgeprodukten;fOlg@pRo:dUkt@n 
folgepublikationen;fOlg@pu:bli:katsi:o:n@n 
folgeregelung;fOlg@Re:g@lUN 
folgerichtig;fOlg@RICtIC 
folgerichtigen;fOlg@RICtIg@n 
folgerichtigkeit;fOlg@RICtICkaIt 
folgern;fOlg6n 
folgerns;fOlg6ns 
folgernsup;fOlg6ns ap 
folgert;fOlg6t 
folgerte;fOlg6t@ 
folgerung;fOlg@RUN 
folgerungen;fOlg@RUN@n 
folgerungenquelltext;fOlg@RUN@nkvEltEkst 
folgeseiten;fOlg@zaIt@n 
folgesup;fOlg@s ap 
folgeton;fOlg@to:n 
folgeverhalten;fOlg@fERhalt@n 
folgewirkungen;fOlg@vIRkUN@n 
folgezeit;fOlg@tsaIt 
folglich;fOlklIC 
folgt;fOlkt 
folgte;fOlkt@ 
folgten;fOlkt@n 
folgtensup;fOlktEnzu:p 
folgtsup;fOlktzu:p 
folie;fo:li:@ 
folien;fo:li:@n 
folienhersteller;fo:li:@nhe:6StEl6 
folienstreifen;fo:li:@nStRaIf@n 
folientastaturen;fo:li:@ntastatu:R@n 
folientasten;fo:li:@ntast@n 
folienverpackung;fo:li:@nfERpakUN 
folio;fo:li:o: 
folionzz;fo:li: o:ntsts 
folk;fOlk 
folke;fOlkE 
folklore;fOlklo:R@ 
folkloreensembles;fOlklo:R@ a^sa^b@ls 
folkloremusik;fOlklo:R@mu:zi:k 
folkloristische;fOlklo:RIstIS@ 
folkmusikerin;fOlkmu:zIk@RIn 
folktale;fOlkta:lE 
folkwang;fOlkvaN 
folkwangmuseum;fOlkvaNmu:ze: Um 
folkwangmuseums;fOlkvaNmu:ze: Ums 
folkwangmusikhochschule;fOlkvaNmu:zi:kho:xSu:lE 
follettken;fOlEtkEn 
follikel;fOli:k@l 
follikeln;fOli:k@ln 
follikelreifungsphase;fOli:k@lRaIfUNsfa:z@ 
follikels;fOli:k@ls 
follower;fOlo:ve:6 
follows;fOlOva s 
followup;fOlo:vu:p 
folter;fOlt6 
foltern;fOlt6n 
foltersup;fOlt6s ap 
folterunausschuss;fOlt6 Un aUsSUs 
folterungen;fOlt@RUN@n 
fonamental;fo:namEnta:l 
fonctions;fOnkti: o:ns 
fondamentale;fo^ a:m@nte:l 
fondamentaux;fOndamEntaUks 
fondas;fo^ as 
fondellamanda;fo^ Ela:manda: 
fondement;fOnde:mEnt 
fonds;fo^ 
fondsgesetz;fo^ g@zEts 
fondsgesetze;fo^ g@zEts@ 
fonfara;fOnfaRa: 
fons;fo:ns 
font;fo:nt 
fontaines;fo:ntaInEs 
fontainesgottfried;fo:ntaInEsgOtfRi:t 
fontanajosef;fo:ntanajo:zEf 
fontanetheodor;fOnta:n@te:o:do:6 
fontanus;fo:ntanUs 
fontfamilyinherit;fOntfami:lY Inhe:RIt 
fontibus;fOnti:bUs 
fonticula;fOntIku:la: 
fontsize;fOntzi:tsE 
fontsizesmaller;fOntzi:tsEsmal6 
fontsizesmallerntd;fOntzi:tsEsmal6nt 
fontweight;fOntvaIkha t 
fontweightbolddeutsche;fOntvaIkha tbOltdOYtSE 
food;fu:t 
footagestock;fo:ta:g@StOk 
football;fUtbOl 
footballamerican;fUtbOl EmERIk@n 
footballangriffsrecht;fUtbOl angRIfsRECt 
footballquelltext;fUtbOlkvEltEkst 
foote;fo:tE 
footnote;fo:tno:tE 
foppa;fOpa: 
for;fo:6 
foragingoptimal;fo:Ra:gIN Opti:ma:l 
forall;fo:Ral 
forato;fo:Rato: 
forbachboulaymosellearrondissement;fORbaxbu:laImo:zEle: aROndIse:mEnt 
forbeaux;fORb@aUks 
forbes;fORbEs 
forbescolin;fORbEsko:li:n 
forbidden;fORbIdEn 
force;fORts@ 
forcedienstgrade;fORtse:di:nstgRa:d@ 
forceroyal;fORtsEROY a:l 
forces;fORtsEs 
forcewith;fORtse:vIt 
forcher;fORC6 
forcierensup;fORsi:R@ns ap 
forciert;fORsi:6t 
forcierte;fORsi:6t@ 
forcierten;fORsi:6t@n 
forcierter;fORsi:6t6 
fordere;fORd@R@ 
fordern;fORd6n 
fordert;fORd6t 
forderte;fORd6t@ 
forderten;fORd6t@n 
fordertesup;fORd6t@s ap 
fordertsup;fORd6ts ap 
forderung;fORd@RUN 
forderungen;fORd@RUN@n 
forderungsbesicherten;fORd@RUNsb@zIC6t@n 
forderungsbestands;fORd@RUNsb@Stants 
forderungsbindung;fORd@RUNsbIndUN 
forderungsrechte;fORd@RUNsRECt@ 
forderungsschuldner;fORd@RUNsSUldn6 
forderungstrias;fORd@RUNstRi:as 
forderungzweifelhafte;fORd@RUNtsvaIf@lhaft@ 
forderunterricht;fORd6 Unt6RICt 
fordhenry;fORthEnRi: 
fordjohn;fORtjo:n 
forebrain;fo:Re:bRaIn 
foreign;fo:RaIgn 
foreknowledge;fo:R@nOlItS 
forelimbs;fo:Re:lImps 
forellen;fo:REl@n 
forensis;fo:REnzIs 
forensische;fo:REnzIS@ 
forensischen;fo:REnzIS@n 
forest;fOREst 
forestlee;fOREstle: 
forestmalheur;fOREstmal2:6 
forestry;fo:REstRi: 
forests;fOREsts 
foreword;fo:R@v9t 
forge;fORg@ 
forgeau;fORgo: 
forging;fORgIN 
forgot;fORgOt 
forgotten;fORgOtEn 
foriining;fo:RI i:nIN 
forkeljohann;fORkEljo:han 
forkresource;fORkRe:zu:Rts@ 
form;fORm 
forma;fORma: 
formabweichungen;fORm apvaICUN@n 
formal;fORma:l 
formale;fORma:l@ 
formalem;fORma:l@m 
formalen;fORma:l@n 
formaler;fORma:l6 
formales;fORma:l@s 
formalis;fORm a:li:s 
formaliscausa;fORm a:li:skaUza: 
formalisierbar;fORmali:zi:6ba:6 
formalisieren;fORmali:zi:R@n 
formalisiert;fORmali:zi:6t 
formalisierte;fORmali:zi:6t@ 
formalisierten;fORmali:zi:6t@n 
formalisierter;fORmali:zi:6t6 
formalisiertes;fORmali:zi:6t@s 
formalisierung;fORmali:zi:RUN 
formalisierungen;fORmali:zi:RUN@n 
formalismen;fORmalIsm@n 
formalismenquelltext;fORmalIsm@nkvEltEkst 
formalismus;fORmalIsmUs 
formalization;fORmali:tsatsi: o:n 
formalized;fORmali:tsEt 
formaljuristischen;fORma:lju:RIstIS@n 
formallogischen;fORma:lo:Zi:C@n 
formalmathematisch;fORma:lmat@ma:tIS 
formalndlnddspanspan;fORma:lntlntSpanSpa:n 
formalobjektmaterialobjekt;fORma:l OpjEktmate:Ri:a:l OpjEkt 
formalontologischer;fORma:l Onto:lo:gIS6 
formalpositivistisch;fORma:lpo:zi:ti:vIstIS 
formalsprachlicher;fORma:lSpRa:xlIC6 
formalwissens;fORma:lvIs@ns 
formam;fORm am 
formanalyse;fORm analy:z@ 
formanten;fORmant@n 
format;fORma:t 
formate;fORma:t@ 
formaten;fORma:t@n 
formatieren;fORmati:R@n 
formatierenden;fORmati:R@nd@n 
formatierten;fORmati:6t@n 
formatierung;fORmati:RUN 
formatierungsanweisungen;fORmati:RUNs anvaIzUN@n 
